pocket	jeans	component-whole
page	book	entity-origin
brickwork	bricklayer	product-producer
iron	ocean	entity-destination
director	logic	other
pile	bin	content-container
glaucoma	disorders	other
crown	tree	component-whole
music	musician	product-producer
patients	hospital	entity-destination
flour	can	content-container
thermostat	water	other
hook	crane	component-whole
seat	truck	component-whole
exercises	book	component-whole
friend	love	other
broadsword	units	instrument-agency
excerpts	article	entity-origin
remarks	call	message-topic
poem	need	message-topic
boards	story	message-topic
parts	undergraduate	instrument-agency
hardcopy	book	other
hull	ship	component-whole
paper	researcher	product-producer
sugar	company	product-producer
leftovers	colon	entity-destination
sedation	dentists	instrument-agency
families	weeks	other
fingertips	bruises	cause-effect
forum	dropshipping	message-topic
works	relationship	message-topic
e-mail	request	message-topic
resolution	planets	message-topic
protein	cell	component-whole
beach	mouth	other
ember	turnip	entity-destination
rogues	brotherhood	member-collection
girl	trance	other
tendon	muscle	other
potato	peeler	other
cities	emissions	cause-effect
steps	stairs	component-whole
cards	deck	member-collection
soup	beef	entity-origin
deliverance	cycles	other
causeway	governor	product-producer
seeds	space	entity-destination
wine	fermentation	other
dish	sardines	other
hares	warren	member-collection
chip	modem	entity-destination
stress	tension	cause-effect
tortoises	creep	member-collection
bees	bike	member-collection
system	structure	other
book	writings	message-topic
money	mattress	content-container
liberalization	gains	cause-effect
hoof	reindeer	component-whole
program	therapist	instrument-agency
book	shelf	entity-destination
design	worldview	other
hair	eyebrow	entity-origin
natives	tribe	member-collection
bat	stranger	instrument-agency
instructions	step	message-topic
islands	sea	entity-destination
redemption	debtor	instrument-agency
body	sack	entity-destination
site	author	product-producer
accident	pain	cause-effect
ancients	species	other
drinks	kitchen	content-container
white	eye	component-whole
dogs	joy	cause-effect
water	cleaner	instrument-agency
victim	water	entity-destination
bees	honey	other
charges	blackmail	other
catnip	ball	component-whole
servomotor	arm	component-whole
pythons	wild	entity-destination
dermatitis	itchiness	cause-effect
information	router	instrument-agency
book	scribe	product-producer
cash	suitcase	content-container
letter	prediction	message-topic
blowlamp	workmen	instrument-agency
